LONGITUDE,LATITUDE,2015,2016,2017,2018,2019
28.5277,-20.1959,0,0,0,0,0
31.03853035,-18.35294,6,1,0,3,5
29.81286,-18.9364,2,7,3,3,1
30.06749916,-17.37389,53,18,16,31,22
30.77088928,-19.83389,1,0,0,0,0
31.0023,-16.6736,351,451,424,348,557
29.78466,-18.92453,8,1,4,4,0
30.30805969,-16.10195,4411,1111,576,371,215
29.88167,-18.35528,0,0,0,0,0
31.0546,-17.8468,19,26,27,17,25
32.2322197,-20.87639,471,353,1100,439,221
32.36755,-18.97483,62,141,296,284,275
32.78583145,-20.03472,117,103,87,34,73
30.42028046,-16.89056,312,64,106,55,273
28.82638931,-16.52639,0,0,0,0,0
31.00105,-17.30145,200,63,80,53,96
29.50555992,-20.83492,4,6,0,3,1
31.0291,-17.7883,43,36,52,42,20
30.43861008,-17.03944,60,19,22,12,31
30.69277954,-16.52667,465,193,441,371,840
32.35144043,-19.30542,69,54,54,69,143
28.5154,-19.4522,1,0,2,2,0
32.30622101,-18.20478,414,86,111,75,91
31.85968,-16.36914,1309,361,1807,1117,1131
30.26968956,-19.97475,1,0,2,0,6
28.13474,-21.25769,0,0,0,2,4
31.77325058,-19.53564,11,30,92,15,42
30.39583015,-17.38333,51,23,21,19,25
29.87302971,-20.29022,0,0,0,0,0
31.12623024,-16.87747,98,85,55,26,120
29.90583038,-18.62444,0,0,0,1,8
28.33506012,-20.60611,0,0,0,1,0
31.0282,-17.8601,6,2,4,10,3
30.85577965,-18.25661,49,14,35,24,27
29.98760986,-22.20458,173,99,343,195,123
30.87218094,-17.52498,39,25,32,8,6
31.0243,-17.82,52,26,44,20,18
27.27332,-19.45289,0,0,0,1,0
30.67250061,-16.85667,71,52,56,42,65
30.47186089,-20.03367,7,2,23,9,5
30.58960915,-20.63389,5,5,17,14,3
31.7377,-19.05373,7,19,51,1,19
32.0012207,-19.37372,61,19,71,15,51
28.40613937,-21.48506,2,0,11,0,6
32.4892807,-19.25094,61,98,119,55,85
27.87091,-20.23436,0,0,0,0,1
31.60647011,-20.06703,275,190,338,168,101
31.33197975,-17.30967,0,0,0,0,0
31.32876968,-17.29005,864,139,120,72,134
31.33306,-17.32484,14,9,2,1,0
27.32666969,-17.63944,357,99,71,188,358
32.33853149,-19.97181,109,100,222,77,174
32.67343903,-19.79031,151,146,80,77,154
30.7191,-16.969,48,31,27,18,35
29.87599,-17.94313,10,5,0,19,2
28.90613937,-20.87447,5,0,0,1,1
30.40714073,-20.87094,6,0,8,6,5
32.60338974,-18.45428,45,34,43,43,64
30.75056076,-20.28386,11,2,15,9,6
31.34056091,-18.23686,8,11,9,2,3
31.97611046,-17.02083,703,726,1517,847,1057
31.54143906,-18.18464,11,8,7,5,6
31.55306053,-17.50075,306,117,109,7,30
31.40731049,-20.62272,312,105,965,592,99
30.26423,-21.23095,37,18,73,37,24
31.0657,-17.8399,0,0,0,0,0
30.5841,-16.9699,146,59,67,73,124
31.3212,-18.0801,48,26,36,11,10
30.04442,-18.22281,12,9,10,6,2
27.81193924,-20.1,0,0,0,1,0
30.38104,-20.6077,8,7,13,5,11
31.333,-17.3249,13,11,5,1,1
30.9354,-17.8912,103,60,95,39,44
31.43592072,-19.33897,50,42,98,53,81
32.63581085,-19.65556,427,322,301,89,275
32.0678215,-16.56635,151,203,1740,320,193
32.80686188,-19.20719,4812,1341,2074,1391,1727
30.49056053,-18.69722,34,5,25,63,53
29.20446968,-21.46747,4,3,21,8,5
31.78725052,-16.56939,524,118,699,368,274
30.58551979,-16.57822,310,212,44,103,102
31.4387207,-20.10544,41,31,73,44,46
31.27388954,-19.13572,1,2,1,2,1
32.43558121,-19.35569,74,132,241,66,128
31.2348,-17.8451,123,173,128,52,44
32.7883606,-19.54161,0,0,0,0,30
30.46363,-19.2211,0,0,0,0,0
30.23944092,-20.67058,4,6,10,4,3
31.20216942,-16.167,1730,886,2457,1358,1848
29.84527969,-18.07833,9,18,8,3,15
28.30027962,-16.84167,12,19,50,102,23
32.47256088,-19.93394,74,116,407,113,210
32.1689415,-19.68356,72,40,114,42,140
30.39763069,-15.70058,2565,1497,1871,771,591
31.35243988,-19.17197,1,6,1,3,6
31.33643913,-18.17086,13,15,7,9,6
32.15361023,-17.17356,4099,1252,1500,569,362
32.80675125,-19.83536,24,54,39,10,45
30.85639,-20.29011,2,3,2,5,3
30.50114059,-22.05558,100,46,372,193,32
31.15414047,-20.43461,47,55,73,81,35
31.11017036,-16.5185,852,1331,933,561,1976
32.55456162,-19.66983,9,20,21,8,25
29.75499916,-17.92028,0,1,1,0,3
30.14555931,-18.13611,4,8,1,3,5
30.14944077,-18.12861,32,25,22,31,28
29.11277962,-18.21611,1,1,1,4,3
30.55322075,-19.80483,0,0,0,0,1
31.88508034,-19.80603,11,28,39,30,37
31.035245,-19.843855,3,3,12,1,0
32.3373909,-19.61906,37,70,373,149,381
30.6613903,-18.09583,0,0,0,0,0
31.339,-16.7034,494,325,291,193,414
32.30083084,-20.46417,395,214,713,275,129
29.19194031,-17.14833,584,133,45,47,125
31.5668602,-17.08352,441,124,135,44,131
30.96166,-16.80012,84,73,70,32,96
31.05616951,-16.02513,2816,547,2986,763,978
31.9347496,-18.82058,32,16,21,5,2
32.62211,-17.45294,1301,150,554,347,500
29.06433,-17.12012,2,6,6,1,2
30.55810928,-20.45081,0,3,3,5,1
31.71972084,-18.85983,29,10,14,1,6
30.20046997,-20.15394,5,0,5,0,0
31.55051994,-16.87733,254,129,170,160,212
30.56088066,-16.00798,2557,448,1743,646,246
32.64107895,-18.96889,225,135,596,154,237
30.70000076,-18.47028,5,6,1,0,1
30.30253029,-19.81733,0,0,1,1,0
32.15671921,-18.90203,21,63,85,17,39
31.33930969,-21.67494,376,182,1378,776,327
32.2507,-17.39984,911,771,305,420,344
30.19444084,-17.39,34,39,20,10,25
32.49777985,-20.43694,917,205,428,142,180
32.50703049,-17.72186,331,126,37,13,18
31.8404,-17.223,168,155,229,226,143
31.86856079,-20.0005,219,100,396,289,220
32.93732834,-19.72056,325,552,365,174,238
31.91749954,-19.04894,14,9,54,7,58
31.48586082,-17.55206,999,1151,302,28,21
32.57313919,-19.85436,42,13,35,8,21
31.09124947,-22.31725,103,29,804,193,59
32.30678177,-19.33714,65,53,49,36,92
29.9564209,-19.5555,5,2,7,3,1
32.78955841,-17.20656,1030,760,2369,537,1334
31.6558609,-21.22336,1038,641,2244,2453,488
32.56536865,-16.65597,264,271,586,507,460
32.8576,-19.81937,210,79,175,170,285
31.8042202,-19.47289,21,3,46,3,3
30.50610924,-20.94306,19,10,34,19,18
31.15019035,-18.40128,2,3,3,2,0
32.12905121,-16.63128,296,114,410,394,400
32.1282,-16.6383,138,294,241,176,123
31.60614014,-19.67189,5,18,79,40,57
32.50730896,-16.96742,314,363,869,319,596
32.57098,-18.57828,0,3,0,4,1
31.18456078,-17.57161,83,82,115,44,62
32.10519028,-17.23619,904,318,229,226,100
28.07500076,-17.19472,9,13,24,15,12
31.19017982,-16.92892,158,75,38,21,74
32.55430985,-16.86803,482,415,1061,405,629
31.61894035,-21.41761,266,56,375,388,184
29.78660965,-20.72236,14,0,7,4,5
30.35557,-18.44847,13,9,11,3,9
32.50246811,-18.03619,492,118,132,129,89
29.43693924,-17.21556,64,197,20,7,33
30.19376,-17.36,66,59,34,39,42
30.20889091,-17.36222,66,59,9,23,48
30.20806,-17.34913,20,1,1,2,3
30.17167,-17.35684,6,1,3,0,2
25.82583046,-17.94528,19,6,7,9,10
31.55583,-20.30689,63,22,116,90,26
32.02244186,-18.67194,13,16,13,27,9
32.3608284,-20.91722,698,490,1340,1877,736
31.20588,-16.58268,420,593,502,326,813
31.48505974,-19.50567,607,141,155,116,311
32.289355,-18.143585,502,104,232,92,100
31.35627937,-17.83503,102,210,140,91,18
32.20046997,-18.18653,31,26,74,19,0
31.2404995,-18.32094,20,6,16,8,2
31.35515022,-17.31758,206,121,45,33,32
32.3533287,-20.26306,139,136,297,65,90
31.63982964,-18.00653,46,27,40,9,19
32.7040596,-19.32369,299,575,274,395,463
32.28535843,-19.17347,66,101,51,28,67
31.93416977,-17.22472,86,108,182,75,87
31.34071922,-20.06892,22,15,46,12,13
32.61917114,-20.19583,157,223,320,131,151
32.625347,-20.19111,430,284,457,237,306
31.79128075,-20.836,463,576,1630,1069,209
31.6841,-17.2431,1263,478,679,499,498
30.72571945,-16.77972,54,14,8,9,40
30.1241703,-17.68167,6,5,2,0,1
31.67089081,-20.56889,301,135,810,711,157
31.67321968,-21.036,545,463,2776,2615,980
28.5988903,-17.54417,106,53,177,415,161
32.608623,-20.276047,413,212,81,58,76
29.42056084,-17.97611,15,14,1,0,1
30.18000031,-21.11611,33,2,43,19,18
31.16135025,-17.45422,109,164,153,9,11
30.10330963,-19.67347,1,1,3,1,0
31.91802979,-19.88528,162,63,71,80,46
32.00093842,-19.45672,19,20,76,6,24
28.86055946,-16.04389,146,126,118,56,72
30.61864,-16.34884,450,278,1015,221,157
32.88586044,-19.90414,0,0,0,0,0
31.60021973,-17.20986,626,183,97,63,108
32.40555954,-19.603,41,67,219,111,249
25.95471954,-18.01361,6,17,16,6,1
